"Plot","Sp","total_biom"
"P_11",1,50.71
"P_117",2,78.34
"P_118",8,151.14
"P_136",16,289.08
"P_146",8,309.3
"P_15",8,238.68
"P_160",16,359.56
"P_163",1,52.18
"P_170",8,253.25
"P_177",8,246.37
"P_206",8,291.44
"P_208",8,289.82
"P_210",8,361.65
"P_227",16,452.58
"P_235",16,372.44
"P_293",8,354.19
"P_3",4,42.05
"P_313",8,310.88
"P_318",16,384.78
"P_331",16,334.27
"P_336",16,400.11
"P_5",1,88.88
"P_57",8,348.93
"P_62",4,176.11
"P_68",16,339.34
"P_70",4,255.02
"P_74",8,277.19
"P_9",16,214.49
"P_93",4,294.52
"P_98",8,235.67
