"Plot","des.S","NBE_dST_sqrt","CE_dST_sqrt","SE_dST_sqrt"
"P_1",5,0.951298353156689,1.4172095639917,-1.05048293253671
"P_2",5,0.6313451334854,0.629973267673741,0.0415975911822704
"P_3",2,0.174989340840317,0.12447656423795,0.122991277590096
"P_5",2,0.0792180896756174,0.0778867689317956,0.0144622597549364
"P_6",1,0.13420603448498,0.13420603448498,1.8848643661549e-09
"P_7",1,0.0206399353893252,0.0206399353893252,-3.33200093731253e-10
"P_9",2,0.12325327441513,0.282439573802755,-0.254127415277909
"P_10",2,0.206771518448271,0.589662836622246,-0.552220789224736
"P_11",1,-0.0213234054290404,-0.0213234054290405,9.42432183077448e-10
"P_12",1,0.00522147396288168,0.00522147396288168,5.89020114423405e-11
"P_14",12,0.774486169384701,1.46491259344465,-1.24343881227206
"P_18",5,0.115095183886969,0.606360269110492,-0.595336774105022
"P_19",2,0.193754099678095,0.274916401538794,-0.195034296196772
"P_22",1,0.00924538820380751,0.00924538820380751,0
"P_23",2,0.160869452523361,0.193539334639661,-0.10760340746276
"P_24",2,-0.0714102711569842,-0.050795737475968,-0.0501918308192335
"P_28",1,0.0552069139753632,0.0552069139753632,0
"P_30",5,0.387148192831388,0.484808459926067,-0.291814186775206
"P_32",2,0.0934401699686515,0.0597851787651842,0.0718108471178655
"P_34",2,0.38342730677726,0.389327893320773,-0.0675256168807719
"P_35",2,0.0256164212584123,0.0284470200831327,-0.0123706068372461
"P_36",1,0.012982249888856,0.012982249888856,1.3431725187093e-09
"P_37",2,0.19572755308051,0.254759751493649,-0.163074387768963
"P_38",2,0.482035987764034,0.639464197567677,-0.420185395356889
"P_39",2,0.0764940302053618,0.114061797747159,-0.0846094382929885
"P_44",2,0.386130969122755,0.343386118832532,0.176587368485994
"P_45",1,0.0390492638751269,0.0390492638751269,4.71216091538724e-10
"P_46",1,0.204561902713913,0.204561902713913,0
"P_47",1,0.182997745532584,0.182997745532584,2.66560074985002e-09
"P_50",12,0.83358411093172,0.983729137769222,-0.522360552203505
"P_51",1,0.0268942867668476,0.0268942867668476,-3.33200093731253e-10
"P_52",1,-0.08471405658366,-0.08471405658366,-1.8848643661549e-09
"P_53",5,0.407285649474658,0.412011581678461,-0.0622249400899146
"P_54",2,0.0625065658677458,0.0664453870787556,-0.0225370514368411
"P_56",2,0.0840455489795919,0.125524973122868,-0.0932355327877506
"P_58",5,0.313349617490041,0.369803351066325,-0.196383644122235
"P_59",2,0.402377070744288,0.370535559807851,0.156877997114434
"P_60",5,0.433639797483754,0.48125180543639,-0.208709909381499
"P_61",1,-0.0340559134472704,-0.0340559134472704,0
"P_65",12,0.695387469900465,0.969360769610217,-0.675349219563288
"P_67",1,-0.042413831664454,-0.042413831664454,4.71216091538724e-10
"P_68",1,-0.112652503170382,-0.112652503170382,-1.33280037492501e-09
"P_70",1,-0.0449814341516561,-0.0449814341516561,0
"P_77",2,0.271474381563996,0.205885960524914,0.176944372909363
"P_80",2,0.180341565863902,0.254526089454764,-0.17961194235042
"P_81",2,0.167212813655983,0.132266337392962,0.102302204489451
"P_82",1,-0.0328054797893949,-0.0328054797893949,4.71216091538724e-10
"P_85",2,0.0961239073777538,0.14506977717093,-0.108652817169442
"P_89",2,0.055603571979835,0.0594566123719398,-0.0210554396256741
"P_90",2,0.377869506964158,0.377187150956116,0.0226984018588051
"P_95",2,-0.0397032585496627,-0.0350333037918536,-0.0186819796833489
"P_96",1,-0.00400495525864454,-0.00400495525864454,0
"P_97",2,0.346575892008211,0.518621726297873,-0.385815559648518
"P_99",12,0.618191307016699,0.66953276434157,-0.257125709441608
"P_100",2,0.0692962024876721,-0.0532564003050454,0.0873968412052959
"P_108",1,0.165639518471556,0.165639518471556,0
"P_109",5,0.236596367904598,0.314112134829688,-0.206612177621785
"P_113",1,-0.0435877130576647,-0.0435877130576647,9.42432183077448e-10
"P_114",5,0.30505339006719,0.334844058761397,-0.138068725265066
"P_115",2,0.272872603196651,0.261455490789504,0.0781055946225136
"P_116",2,0.086991182501318,0.0304461914023472,0.0814892340255401
"P_122",1,-0.0186530448924465,-0.0186530448924465,-4.71216091538724e-10
"P_136",1,0.0207658259835045,0.0207658259835045,-3.33200093731253e-10
"P_141",1,0.0543529450421627,0.0543529450421627,0
"P_142",2,0.436512689258,0.402815216020849,0.168176186261097
"P_144",1,0.022720715341058,0.022720715341058,3.33200093731253e-10
"P_145",5,0.673179031031707,0.714216817185319,-0.238611932077045
